names
"A'Quarone, Leonard"
"Eames, Wilberforce, 1855-1937"
"Earhart, Amelia, 1897-1937"
"Earle, Pliny, 1809-1892"
"Eastman, Augustus."
"Eastman, David, active 1820-1822"
"Eaton, John Henry, 1790-1856"
"Eberhart, Richard, 1904-2005"
"Ebner-Eschenbach, Marie von, 1830-1916"
"Eckels, Henry."
"Edel, Leon, 1907-1997"
"Edison, Thomas A. (Thomas Alva), 1847-1931"
"Edmonds, John W. (John Worth), 1799-1874"
"Edmunds, Lowell."
"Edwards, Charles, 1797-1868"
"Edwards, Harry, 1824 or 1825-1891"
"Egan, Maurice Francis, 1852-1924"
"Egan, Patrick, 1841-"
"Eggleston, Edward, 1837-1902"
"Einstein, Albert, 1879-1955"
"Elbrick, C. Burke, 1908-1983"
"Eleonore, Empress, consort of Leopold I, Holy Roman Emperor, 1655-1720"
"Eleonore, Empress, consort of Leopold I, Holy Roman Emperor, 1655-1720"
"Eliason, Norman Ellsworth, 1907-"
"Eliot, Charles William, 1834-1926"
"Ellery, William, 1727-1820"
"Ellicott, Elias, 1759-1827"
"Ellicott, Eliza"
"Ellicott, James, 1804-1826"
"Ellicott, Mary Thomas, 1768-"
"Ellicott, Thomas, 1777-1859"
"Ellicott, Thomas, 1820-"
"Elliott, A. Marshall"
"Elliott, A. Marshall."
"Ellis, Robinson, 1834-1913"
"Elliston, Herbert Berridge."
"Ely, Richard T. (Richard Theodore), 1854-1943"
"Ender, Edward S."
"Enders, Robert K. (Robert Kendall), 1899-1988"
"Engberg, Maud, 1902-"
"Engel, Carl, 1883-1944"
"Engert, Cornelius Van Hemert, 1887-1985"
"Engle, Earl T. (Earl Theron), 1896-1957"
"English, Thomas Dunn, 1819-1902"
"Ennis, David S."
"Epstein, Klaus."
"Ericson, Stig Hansson, 1897-"
"Ernst, Heinrich Wilhelm, 1814-1865"
"Escher von der Linth, Arnold, 1807-1872"
"Essex, Robert Devereux, Earl of, 1565-1601"
"Etzold, Thomas H."
Euripides.
"Everett, Charles Carroll, 1829-1900"
"Everett, Edward, 1794-1865"
"Everett, Henry A., 1856-1917"
"Everett, Leolyn Louise"
"Everett, Leolyn Louise."
"Everett, Leolyn Louise"
"Everett, Leolyn Louise"
"Everett, Leolyn Louise"
"Eytinge, Rose, 1834 or 1835-1911"
"Fair, Gordon Maskew, 1894-1970"
"Fairlie, John A. (John Archibald), 1872-1947"
"Falwell, Joseph D."
"Faraday, Michael, 1791-1867"
"Fargue, Léon-Paul, 1876-1947"
"Farjasse, D.-D. (Denis-Dominique), 1801-"
"Farley, James A. (James Aloysius), 1888-1976"
"Farnham, Eliza W. (Eliza Wood), 1815-1864"
"Farrand, Max, 1869-1945"
"Faulkner, Waldron."
"Faunce, William Herbert Perry, 1859-1930"
"Fauré-Frémiet, E. (Emmanuel), 1883-"
"Faust, Albert Bernhardt, 1870-1951"
"Faust, Ernest Carroll, 1890-1978"
"Fawcett, Henry, 1833-1884"
"Fawcett, Millicent Garrett, Dame, 1847-1929"
"Faÿ, Bernard, 1893-1978"
"Federici, Domenico Maria, 1739-1808"
"Feely, Edward F."
"Fell, Barry, 1917-1994"
"Fenn, Wallace O."
"Ferrara, Orestes, 1876-1972"
"Ferré, Nels F. S. (Nels Frederick Solomon), 1908-1971"
"Ferrel, William, 1817-1891"
"Ferrell, Robert H."
"Fick, August, 1833-1916"
"Field, David Dudley, 1805-1894"
"Field, Eugene, 1850-1895"
"Field, Henry, 1902-1986"
"Field, Kate, 1838-1896"
"Fields, Annie, 1834-1915"
"Fields, Artur."
"Fillmore, Millard, 1800-1874"
"Findlay, Anna Howell Kennedy, 1852-"
"Fine, John, 1784-1867"
"Fini, Leonor, 1908-1996"
"Finley, David"
"Finley, J. P. (John P.), 1854-1943"
"Fisch, Max Harold, 1900-"
"Fish, Hamilton, 1808-1893"
"Fish, Stanley Eugene."
"Fisher, Clara, 1811-1898"
"Fisher, George Wescott, 1937-"
"Fisher, Jack C., 1937-"
"Fisher, Walter L. (Walter Lowrie), 1862-1935"
"Fiske, John, 1842-1901"
"Fiske, Thomas Scott, 1865-1944"
"Fitzgerald, James Anderson, 1881-"
"Fitzpatrick, Daniel Robert, 1891-1969"
"Flagg, Azariah C. (Azariah Cutting), 1790-1873"
"Flahavan, John."
"Flahavan, Roger."
"Flahavan, Thomas."
"Fleishauer, Warren L."
"Fletcher, Henry Prather, 1873-1959"
"Flexner, Simon, 1863-1946"
"Floyd, William, 1734-1821"
"Folger, Harry Thomas, 1889-"
"Folks, Homer, 1867-1963"
"Follain, Jean, 1903-1971"
"Fontanar, Conde"
"Forbes-Robertson, Diana."
"Forsyth, John, 1780-1841"
"Foster, John Watson, 1836-1917"
"Fowler, Colleen."
"Fox, Harold Munro, 1889-1967"
"Fraenkel, Gottfried S. (Gottfried Samuel), 1901-1984"
"Francke, Kuno, 1855-1930"
"Frank, Tenney, 1876-1939"
"Frankel, Bennett."
"Frankena, William K."
"Franklin, Benjamin, 1706-1790"
"Franklin, Benjamin, 1706-1790"
"Franklin, Fabian, 1853-1939"
"Franklin, Fabian, 1853-1939"
"Franz, Rudolph"
"Franz, Rudolph."
"Frazer, Persifor, 1844-1909"
"Frédéricq, Paul, 1850-1920"
"Freeman, Edward A. (Edward Augustus), 1823-1892"
"Freeman, Mary Eleanor Wilkins, 1852-1930"
"Freeman, Walker Burford, 1843-1935"
"Freeman, Walker Burford."
"Fremantle, Anne, 1909-2002"
"Frémont, Jessie Benton, 1824-1902"
"Frenzel, Karl, 1827-1914"
"Friend, Ellen Bankes, 1816-1883"
"Frost, Robert, 1874-1963"
"Frothingham, Octavius Brooks, 1822-1895"
"Froude, William, 1810-1879"
"Frye, William P. (William Pierce), 1831-1911"
"Füchtbauer, H."
"Furness, Horace Howard, 1833-1912"
"Galambos, Louis."
"Galantière, Lewis, 1895-1977"
"Gale, Henry Gordon, 1874-1942"
"Gallatin, Albert, 1761-1849"
"Gallup, Donald Clifford, 1913-2000"
"Galton, Francis, 1822-1911"
"Gannett, Henry, 1846-1914"
"García Lorca, Federico, 1898-1936"
"García Menocal, Mario, 1866-1941"
"Gardiner, Harold C. (Harold Charles), 1904-"
"Gardner, John"
"Gardner, Martin R."
"Garfield, James A. (James Abram), 1831-1881"
"Garfield, James Rudolph, 1865-1950"
"Garner, James Wilford, 1871-1938"
"Garnett, James M. (James Mercer), 1840-1916"
"Garrels, Robert M. (Robert Minard), 1916-1988"
"Garrett, Alice Warder"
"Garrett, Alice Warder"
"Garrick, David, 1717-1779"
"Garrison, Fielding H. (Fielding Hudson), 1870-1935"
"Garrison, Wendell Phillips, 1840-1907"
"Garrity, Devin."
"Gates, G. E. (Gordon Enoch), 1897-1987"
"Gatzke, Hans Wilhelm, 1915-"
"Gauguin, Paul, 1848-1903"
"Gauss, Christian, 1878-1951"
"Gayarré, Charles, 1805-1895"
"Gayley, Charles Mills, 1858-1932"
"Geikie, Archibald, 1835-1924"
"Geiser, Samuel Wood, 1890-1983"
"Geisler, Arthur H."
"Gericke, Wilhelm, 1845-1925"
"Gerry, Elbridge, 1744-1814"
"Gershwin, Ira, 1896-1983"
"Gerstäcker, Friedrich, 1816-1872"
"Gianturco, Elio, 1900-"
"Gibbons, Abby Hopper, 1801-1893"
"Gibbons, James, 1834-1921"
"Gibbs, Wolcott, 1822-1908"
"Gibson, Florence."
"Gibson, Hugh, 1883-1954"
"Gibson, S. Archer, 1875-1952"
"Gibson, Wilfrid Wilson, 1878-1962"
"Giddings, Joshua R. (Joshua Reed), 1795-1864"
"Gide, André, 1869-1951"
"Gil Borges, Esteban, 1879-1942"
"Gilbert, Grove Karl, 1843-1918"
"Gilbert, John, 1810-1889"
"Gilbert, Linda, 1847-1895"
"Gilbert, Prentiss BaiIey, 1883-"
"Gilder, Richard Watson, 1844-1909"
"Gill, John, active 1827-1830"
"Gilman, Elisabeth Dwight Woolsey, -1910"
"Gilmor, Robert, 1748-1822"
"Gingras, Angele de T."
"Giorgione, 1477-1511"
"Gísli Konráðsson, 1787-1877"
"Gittings, John Sterrett"
"Gittings, Mary Elizabeth, -1900"
"Glaser, Kurt, 1914-"
"Gleason, Henry A. (Henry Allan), 1882-1975"
"Glenn, John Mark, 1858-1896"
"Glenn, John, 1795-1853"
"Glennan, Thomas Keith, 1905-1995"
"Glover, W. Irving"
"Gobbel, Luther L. (Luther Lafayette), 1895-1991"
"Godwin, Parke, 1816-1904"
"Goebel, Julius, 1857-1931"
"Goedicke, Hans."
"Goethe, Ottilie von, 1796-1872"
"Gogorza, Emilio de, 1872-1949"
"Gohn, Ernest Salisbury, 1922-"
"Goldschmidt, Levin, 1829-1897"
"Goldsmith, Oliver, 1730?-1774"
"Goldsmith, William M."
"Gondomar, Diego Sarmiento de Acuña, Conde de, 1567-1626"
"Gonseth, Ferdinand, 1890-1975"
"Goodale, George L. (George Lincoln), 1839-1923"
"Goodall, E. C. (Edna C.)"
"Goode, G. Brown (George Brown), 1851-1896"
"Goodman, Ellen."
"Goodwillie, Thomas."
"Goodwin, William Watson, 1831-1912"
"Goore, Francis, active 1800-1807"
"Goore, Thomas, active 1800-1807"
"Gorman, Arthur P. (Arthur Pue), 1839-1906"
"Gosse, Edmund, 1849-1928"
"Gottschall, Rudolf von, 1823-1909"
"Gough, Richard, 1735-1809"
"Gould, Benjamin Apthorp, 1824-1896"
"Goulemot, Jean Marie"
"Gouzenko, Igor, 1919-1982"
"Gow, Haven Bradford."
"Grafflin, John C."
"Grafflin, William H."
"Graffman, J. Holger"
"Graham, Katharine, 1917-2001"
"Graham, Philip L., 1915-1963"
"Grandgent, C. H. (Charles Hall), 1862-1939"
"Grandi, Dino, 1895-1988"
"Grant-Smith, Ulysses, 1870-1959"
"Grant-Smith, Ulysses, 1870-1959"
"Grant, C. J. (Charles Jameson), active 1830-1852"
"Grasse, Edwin, 1884-1954"
"Grattan-Guinness, I."
"Grauer, Alice Betty."
"Grave, Caswell, 1870-1944"
"Gray, John H. (John Henry), 1859-1946"
"Gray, Peter, 1908-"
"Greeley, Horace, 1811-1872"
"Greely, A. W. (Adolphus Washington), 1844-1935"
"Green, Duff, 1791-1875"
"Greene, F. V. (Francis Vinton), 1850-1921"
"Greene, Winthrop S."
"Greenfield, David L. (Minister)"
"Greenlaw, Edwin, 1874-1931"
"Greenslet, Emily."
"Greiner, J. E. (John Edwin), 1859-"
"Grew, Joseph C. (Joseph Clark), 1880-1965"
"Gridley, Philo, 1796-1864"
"Grimm, Jacob, 1785-1863"
"Grímur Jónsson Thorkelín, 1752-1829"
"Grosvenor, Edwin A. (Edwin Augustus), 1845-1936"
"Groszmann, Maximilian P. E. (Maximilian Paul Eugen), 1855-1922"
"Gryder, John W."
"Gryder, John"
"Gudeman, A. (Alfred), 1862-"
"Gudger, E. W. (Eugene Willis), 1866-1956"
"Guerra, Faustino."
"Guggenheim, Henry F."
"Guild, Curtis, 1827-1911"
"Guillaumin, Armand, 1841-1927"
"Guillén, Jorge, 1893-1984"
"Guillén, Jorge, 1893-1984"
"Guiterman, Arthur, 1871-1943"
"Gummere, Francis Barton, 1855-1919"
"Gunter, Archibald Clavering, 1847-1907"
"Gunther, Franklin Mott, 1885-1941"
"Gurney, Joseph John, 1788-1847"
"Guth, William Westley, 1871-1929"
"Gutzkow, Karl, 1811-1878"
"Guyer, Michael F. (Michael Frederic), 1874-1959"
"Guzmán, Eduardo."
"Gwinn, Charles J. M."
"Gwinnett, Button, approximately 1735-1777"
"Haas, Robert Bartlett"
"Hadley, Arthur Twining, 1856-1930"
"Hagner, Isabella L."
"Haldane, R. B. Haldane (Richard Burdon Haldane), Viscount, 1856-1928"
"Hale, Edward Everett, Sr., 1822-1909"
"Hale, George Ellery, 1868-1938"
"Hale, Horatio, 1817-1896"
"Hale, William Gardner, 1849-1928"
"Hall, G. Stanley (Granville Stanley), 1844-1924"
"Hall, James, 1811-1898"
"Hall, Lyman, 1724-1790"
"Hall, Richard P. (Richard Pinkham), 1900-1969"
"Hall, S. C. (Samuel Carter), 1800-1889"
"Halpern, Barbara."
"Halvorson, Homer."
"Hambleton, John A., 1880-1951"
"Hamilton, Alexander, 1712-1756"
"Hamilton, Edith, 1867-1963"
"Hamilton, G. V."
"Hamlin, John A."
"Hammett, Frederick S. (Frederick Simonds), 1885-"
"Hammond, Ogden H. (Ogden Haggerty), 1869-1956"
"Hammond, William A. (William Alexander), 1828-1900"
"Hampton, Wade, 1752-1835"
"Hancher, Virgil Melvin, 1896-1965"
"Hancock, Walker Kirtland, 1901-1998"
"Hanes, J. Gordon (James Gordon), 1916-1995"
"Hankey, Robin"
"Hanna, Mathew, 1878-1962"
"Hansen, Harry, 1884-1977"
"Hard, William, 1878-1962"
"Hardie, Lawrence A."
"Harding, Nelson, 1879-1944"
"Hardy, James D., 1918-"
"Hardy, Thomas, 1840-1928"
"Hargnett, John, active 1843-1845"
"Harper, Robert Goodloe, 1765-1825"
"Harper, William Rainey, 1856-1906"
"Harraden, Beatrice, 1864-1936"
"Harris, Chauncy D. (Chauncy Dennison), 1914-2003"
"Harris, Ira, 1802-1875"
"Harris, J. Rendel (James Rendel), 1852-1941"
"Harris, William Torrey, 1835-1909"
"Harrison, Benjamin, 1833-1901"
"Harrison, George William Mallory."
"Harrison, James Albert, 1848-1911"
"Harrison, Leland, 1883-1951"
"Harrison, William Henry, 1773-1841"
"Harriss, Clarinda, 1939-"
"Harriss, R. P. (Robert Preston), 1903-1989"
"Harrod, Roy, 1900-1978"
"Hart, Albert Bushnell, 1854-1943"
"Hart, John, 1711?-1779"
"Hart, Scott."
"Hartman, Carl G. (Carl Gottfried), 1879-1968"
"Hartman, Philip, 1915-"
"Hartmann, Max, 1876-1962"
"Hartshorne, Charles, 1897-2000"
"Harvey, E. Newton (Edmund Newton), 1887-1959"
"Haskins, Charles Homer, 1870-1937"
"Hasse, Johann Christian, 1779-1830"
"Hasselberg, B. (Bernhard), 1848-1922"
"Hassett, Charles Clifford, 1905-"
"Hastings, Charles S. (Charles Sheldon), 1849-1932"
"Hatcher, Anna Granville, 1905-1978"
"Hatcher, Harlan, 1898-1998"
"Haugen, Einar, 1906-1994"
"Hawthorne, Julian, 1846-1934"
"Hawthorne, Nathaniel, 1804-1864"
"Hay, Richard L., 1929-"
"Hayek, Friedrich A. von (Friedrich August), 1899-1992"
"Hayes, Augustus Allen, 1837-1892"
"Hayne, Paul Hamilton, 1830-1886"
"Hayward, A. (Abraham), 1801-1884"
"Hazen, Charles Downer, 1868-1941"
"Headley, P. C. (Phineas Camp), 1819-1903"
"Heath, Henry, active 1824-1850"
"Hebbel, Friedrich, 1813-1863"
"Hefner, Ralph Aubrie, 1902-"
"Hegner, Robert William, 1880-1942"
"Heidel, William Arthur, 1868-1941"
"Heilbrunn, Lewis Victor, 1892-"
"Heinewahl, D. Edward."
"Heinline, Gertrude White."
"Heinrichs, Waldo H."
"Hellman, Lillian, 1905-1984"
"Helmholtz, Hermann von, 1821-1894"
"Hempl, George, 1859-1921"
"Henderson, Loy W. (Loy Wesley), 1892-1986"
"Hennessy, David."
"Henry, Joseph, 1797-1878"
"Henry, Jules, 1904-1969"
"Hepburn, A. Barton (Alonzo Barton), 1846-1922"
"Herbert, Victor, 1859-1924"
"Herford, C. H. (Charles Harold), 1853-1931"
"Herman, Ben, 1927-"
"Herrick, C. Judson (Charles Judson), 1868-1960"
"Herron, J. Miles."
"Herter, Christian Archibald, 1865-1910"
"Herter, Christian Archibald, 1895-1966"
"Herter, Christian Archibald, 1895-1966"
"Hertwig, Richard, 1850-1937"
"Herz, Henri, 1803-1888"
"Hesler, L. R. (Lexemuel Ray)"
"Hewes, Joseph, 1730-1779"
"Hewes, Thomas, 1888-"
"Heyse, Paul, 1830-1914"
"Heyward, Thomas, 1746-1809"
"Hibben, Carmela."
"Hickerson, Jack"
"Higginson, Henry Lee, 1834-1919"
"Higginson, Thomas Wentworth, 1823-1911"
"Hilberry, Conrad."
"Hilbert, F. W."
"Hildach, Eugen, 1849-1924"
"Hildebrandt, L. F."
"Hill, David Spence, 1873-1951"
"Hillers, Delbert R."
"Hillyer, V. M. (Virgil Mores), 1875-1931"
"Hirsch, Emil Gustav, 1851-1923"
"Hitler, Adolf, 1889-1945"
"Hocken, Albert."
"Hocking, William Ernest, 1873-1966"
"Hodges, Harriet."
"Hodges, Thomas, -1919"
"Hofer, Myron A., 1931-"
"Hoffman, Daniel, 1923-2013"
"Hoffman, Philip"
"Hofmann, Hans, 1862-"
"Hofmann, Julius, 1865-1928"
"Hogeboom, Henry, 1808-1872"
"Hogstrdt, Tore"
"Holifield, Chet, 1903-1995"
"Hollaender, Gustav, 1855-1915"
"Holland, Henry F. (Henry Finch), 1912-1962"
"Holland, Laurence Bedwell."
"Holley, Marietta, 1836-1926"
"Holmes, John, 1943-"
"Holmes, Oliver Wendell, Jr., 1841-1935"
"Holmes, Samuel J. (Samuel Jackson), 1868-1964"
"Holt, Hamilton, 1872-1951"
"Holt, Henry, 1840-1926"
"Holt, Joseph, 1807-1894"
"Holt, W. Stull (William Stull), 1896-1981-"
"Holtzendorff, Franz von, 1829-1889"
"Home, D. D. (Daniel Dunglas), 1833-1886"
"Hook, Sidney, 1902-1989"
"Hooker, Michael."
"Hooker, Worthington, 1806-1867"
"Hooper, William, 1742-1790"
"Hoover, Herbert, 1874-1964"
"Hoover, Herbert, 1874-1964"
"Hoover, J. Edgar (John Edgar), 1895-1972"
"Hope, Anthony, 1863-1933"
"Hopkins, Dwight Lucian, 1899-"
"Hopkins, Edward Washburn, 1857-1932"
"Hopkins, Stephen, 1707-1785"
"Hopkinson, Francis, 1737-1791"
"Horstmeier, Albert."
"Horstmeier, Ella M. S."
"Horstmeier, Meta Ernestine."
"Horton, Myles, 1905-1990"
"Horton, Zilphia, 1910-1956"
"Hoskins, Albert."
"Hoskins, Katherine de M."
"Hosmer, James K, (James Kendall), 1834-1927"
"Hough, Edith Louise."
"House, Edward Mandell, 1858-1938"
"Houston, Edwin J. (Edwin James), 1847-1914"
"Houston, Robert S. (Robert Stroud), 1923-"
"Houston, Sam, 1793-1863"
"Houville, Gérard d', 1875-1963"
"Hovey, Richard, 1864-1900"
"Howard, Arthur David, 1906-1986"
"Howard, Bronson, 1842-1908"
"Howard, Charles Morris, 1864-"
"Howard, Cornelius, 1755-1844"
"Howard, George Elliott, 1849-1928"
"Howard, James McHenry, 1839-1916"
"Howard, John Eager, 1752-1827"
"Howard, L. O. (Leland Ossian), 1857-1950"
"Howe, Frederic C., 1867-1940"
"Howe, Julia Ward, 1819-1910"
"Howe, Louis M. (Louis McHenry), 1871-1936"
"Howell, Charles D., active 20th century"
"Howells, William Dean, 1837-1920"
"Howitt, Mary Botham, 1799-1888"
"Hsü, Kenneth J. (Kenneth Jinghwa), 1929-"
"Hubbard, Gardiner G. (Gardiner Greene), 1822-1897"
"Huberman, Leo, 1903-1968"
"Hübner, Ernst Willibald Emil, 1834-1901"
"Huckel, Oliver, 1864-1940"
"Hudson, Manley O. (Manley Ottmer), 1886-1960"
"Hughes, Charles Evans, 1862-1948"
"Hughes, Ruth"
"Hull, Cordell, 1871-1955"
"Hulpieu, Harold Raymond, 1901-"
HUMAN CLIMATE TASK FORCE.
"Hume, Joseph, 1777-1855"
"Humphrey, Hubert H. (Hubert Horatio), 1911-1978"
"Humphrey, James Ellis."
"Hunt, Rockwell Dennis, 1868-"
"Hunt, Washington, 1811-1867"
"Hunter, George W. (George William), 1902-"
"Huntington, Archer M. (Archer Milton), 1870-1955"
"Huntington, Samuel, 1731-1796"
"Huntley, James Robert."
"Hurd, Henry M. (Henry Mills), 1843-1927"
"Hurley, Patrick J. (Patrick Jay), 1883-1963"
"Hurley, Ruth Wilson"
"Hurst, Vernon J."
"Hutcheson, Ernest, 1871-1951"
"Hutchins, Robert Maynard, 1899-1977"
"Hutchinson, G. Evelyn (George Evelyn), 1903-1991"
"Hutton, Laurence, 1843-1904"
"Hutzler, Albert."
"Huxley, Julian, 1887-1975"
"Huxley, Thomas Henry, 1825-1895"
"Hyde, Charles Cheney, 1873-1952"
"Ihne, W. (Wilhelm), 1821-1902"
"Imboden, John D. (John Daniel), 1823-1895"
"Ingalls, Melville Ezra, 1842-1914"
"Inge, William Ralph, 1860-1954"
"Ingersoll, Charles Jared, 1782-1862"
"Ingham, Samuel D."
"Ingle, Harold."
"Ingram, John Henry, 1842-1916"
"Insull, Samuel, 1859-1938"
"Irving, Laurence, 1897-1988"
"Ives, C. P."
"Iyenaga, T. (Toyokichi), 1862-1936"
"Jackson, A. V. Williams (Abraham Valentine Williams), 1862-1937"
"Jackson, Andrew, 1767-1845"
"Jackson, Dugald C. (Dugald Caleb), 1865-1951"
"Jackson, Samuel Macauley, 1851-1912"
"Jackson, Stonewall, 1824-1863"
"Jacob, Cary Franklin, 1885-"
"Jacobi, A. (Abraham), 1830-1919"
"Jacobs, Henry Barton, 1858-1939"
"Jacobs,Theo."
"James I, King of England, 1566-1625"
"James, Edmund J. (Edmund Janes), 1855-1925"
"James, Henry, 1879-1947"
"James, William, 1842-1910"
"Jameson, J. Franklin (John Franklin), 1859-1937"
"Jandrisevits, Frank"
"Janzon, Bengt"
"Jarrell, Randall, 1914-1965"
"Jastrow, Ignaz, 1856-1937"
"Jastrow, Joseph, 1863-1944"
"Jastrow, Morris, Jr., 1861-1921"
"Jebb, R. C. (Richard Claverhouse), 1841-1905"
"Jefferson, Mark, 1863-1949"
"Jenks, Albert Ernest, 1869-1953"
"Jenks, Jeremiah Whipple, 1856-1929"
"Jerome, William Travers, 1850-1934"
"Jespersen, Otto, 1860-1943"
"Johansen, John C. (John Christen), 1876-1964"
"John, the Baptist, Saint"
"Johns, Clayton, 1857-1932"
"Johns, Richard"
"Johnson, Allen, 1870-1931"
"Johnson, Hallett"
"Johnson, Hershel V., 1894-"
"Johnson, Oliver, 1809-1889"
"Johnson, Percy Leroy, 1901-"
"Johnson, Reverdy, 1821-1907"
"Johnson, Reverdy, Jr."
"Johnson, Reverdy, Sr."
"Johnson, Richard M. (Richard Mentor), 1780-1850"
"Johnson, Robert Underwood, 1853-1937"
"Johnson, Rossiter, 1840-1931"
"Johnston, Alexander, 1849-1889"
"Johnston, R. M. (Robert Matteson), 1867-1920"
"Johnston, Richard Malcolm, 1822-1898"
"Johnston, William Preston."
"Jones, Jesse H. (Jesse Holman), 1874-1956"
"Jones, John Paul, 1747-1792"
"Jones, Samuel, 1770-1853"
"Jones, Stacy V."
"Jones, T. Rupert (Thomas Rupert), 1819-1911"
"Jordan, David Starr, 1851-1931"
"Jordan, Helene J. (Helene Jamieson)"
"Joseph Bonaparte, King of Spain, 1768-1844"
"Josephs, D. C. (Devereux Colt), 1893-1977"
"Juana Inés de la Cruz, Sister, 1651-1695"
"Judah, Noble Brandon, -1938"
"Judson, Harry Pratt, 1849-1927"
"Jung, Gerhard, 1897-"
"Jusserand, J. J. (Jean Jules), 1855-1932"
"Kallen, Horace Meyer, 1882-1974"
"Kampen, E. R. van (Egbertus Rudolf)"
"Kay, Marshall, 1904-1975"
"Kearns, Henry, 1911-1985"
"Keats, John, 1795-1821"
"Keintzelman, H. P."
"Keller, Friedrich Ludwig von, 1799-1860"
"Keller, Helen, 1880-1968"
"Kellogg, Frank B. (Frank Billings), 1856-1937"
"Kellogg, Vernon L. (Vernon Lyman), 1867-1937"
"Kelly, Howard A. (Howard Atwood), 1858-1943"
"Kelly, John S."
"Kelts, K. R."
"Kemmatter, Anna"
"Kenner, Hugh."
"Kenoyer, Leslie Alva, 1883-"
"Kent, Frank R. (Frank Richardson), 1877-1958"
"Kent, John"
"Kepner, William Allison, 1875-"
"Keppel, Frederick P. (Frederick Paul), 1875-1943"
"Kern, Jerome, 1885-1945"
"Kerr, Alfred, 1867-1948"
"Ketchum, Bostwick H., 1912-"
"Keutgen, Friedrich, 1861-1936"
"Key, David McKendree, 1824-1900"
"Key, Philip Barton, 1757-1815"
"Frederick, George"
"Key, V. O. (Valdimer Orlando), 1908-1963"
"Keynes, Geoffrey, 1887-1982"
"Keyser, Mary Brent."
"Keyser, Samuel, 1835-1906"
"Khadduri, Majid, 1908-2007"
"Kidd, Charles Vincent."
"Kilpatrick, James Jackson, 1920-2010"
"Kimball, Allyn"
"Kimball, Kate F."
"Kimball, Nathan, 1823?-1898"
"King, Bayard"
"King, Elias, 1823-1876"
"King, Joseph, 1784-1865"
"King, Joseph, 1825-"
"King, Lawrence J."
"King, Mary Ellicott, 1823-1856"
"King, Tacy E. (Tacy Ellicott), 1795-1872"
"King, Tacy E. (Tacy Ellicott), 1795-1872"
"King, William, 1663-1712"
"Kinley, David, 1861-1944"
"Kinsey, Samuel, active 1816-1822"
"Kinsolving, Arthur B. (Arthur Barksdale), 1861-1951"
"Kirby, Rollin, 1875-1952"
"Kirchwey, George W. (George Washington), 1855-1942"
"Kirk, Alexander"
"Kirk, Grayson L. (Grayson Louis), 1903-1997"
"Kirk, John Foster, 1824-1904"
"Kirk, Russell."
"Kirkland, Caroline M. (Caroline Matilda), 1801-1864"
"Kirkwood, Elizabeth Scott, 1906-"
"Kittredge, George Lyman, 1860-1941"
"Kittridge, George Lyman, 1860-1940"
"Klee, Paul, 1879-1940"
"Kline, Albert Pierce Franz, 1910-"
"Kline, George Louis, 1921-"
"Knapp, Martin A., 1843-1923"
"Knies, Karl, 1821-1898"
"Knopf, Alfred A., 1892-1984"
"Knox, J. H. Mason (James Hall Mason), 1872-1951"
"Knutson, Herbert Claus, 1915-"
"Kögel, Rudolph, 1855-1899"
"Kossuth, Lajos, 1802-1894"
"Kostritsky, George, 1922-"
"Koyré, Alexandre, 1892-1964"
"Krapp, George Philip, 1872-1934"
"Kraus, Carl von, 1868-1952"
"Kreisler, Fritz, 1875-1962"
"Krogh, August, 1874-1949"
"Krueger, C. Norman."
"Kubek, Anthony, 1920-"
"Kuhn, Alfred, 1895-1960"
"Kühnemann, Eugen, 1868-1946"
"Kuklick, Bruce, 1941-"
"Kullak, Theodor, 1818-1882"
"Kuntz, Albert, 1879-"
"Kwak, T. A. P. (Teunis A. P.)"
"Ladd-Franklin, Christine, 1847-1930"
"Laidinger, W. H."
"Lamb, Charles, 1775-1834"
"Lamb, Charles, 1926-"
"Lampman, Rex."
"Lamprecht, Sterling P. (Sterling Power), 1890-1973"
"Lancaster, William W."
"Lane, Arthur Bliss, 1894-1956"
"Lane, William Coolidge, 1859-1931"
"Lang, Andrew, 1844-1912"
"Langdon, H. Maxwell, 1876-1947"
"Langenberg, Oler"
"Langley, S. P. (Samuel Pierpont), 1834-1906"
"Lanier, Charles D. (Charles Day), 1868-1945"
"Lanier, Clifford Anderson, 1844-1908"
"Lanier, Henry Wysham, 1873-"
"Lanier, Henry."
"Lanier, Mary Day."
"Lanier, Robert S. (Robert Sampson), 1880-"
"Lansing, Robert, 1864-1928"
"Lapham, Henry G."
"Larbaud, Valéry, 1881-1957"
"Larcom, Lucy, 1824-1893"
"Lardner, Dionysius, 1793-1859"
"Larned, J. N. (Josephus Nelson), 1836-1913"
"Laski, Harold Joseph, 1893-1950"
"Lasky, Samuel G. (Samuel Grossman), 1901-"
"Latané, John Holladay, 1869-1932"
"Latané, John Holladay, 1869-1932"
"Latapi, L."
"Latham, I. A."
"Lathrop, George Parsons, 1851-1898"
"Lattimore, Richard."
"Laurens, Henri, 1885-1954"
"Lawrence, Seymour."
"Lawrence, William Henry, 1850-1924"
"Lawson, G."
"Lawton, Elizabeth"
"Lay, Julius G."
"Le Galley, Donald P. (Donald Paul), 1901-"
"Le Moyne, Wm. J. (William J.), 1831-1905"
"Le Rossignol, James Edward, 1866-"
"Lea, Henry Charles, 1825-1909"
"Leaming, Jeremiah Fisher, 1795-1888"
"Learned, Marion Dexter, 1857-1917"
"Léautaud, Paul, 1872-1956"
