names
"A'Quarone, Leonard"
"Beers, Henry A. (Henry Augustin), 1847-1926"
"Behn, Hernand"
"Behn, Sosthenes, 1882-1957"
"Belin, F. Lamont"
"Bell, Alexander Graham, 1847-1922"
"Bell, Alexander Melville, 1819-1905"
"Bell, James Ford, 1879-1961"
"Bell, Quentin."
"Bellamy, George Anne, 1731?-1788"
"Belmont, Perry, 1850-1947"
"Bemis, Edward Webster, 1860-1930"
"Bemis, Samuel Flagg, 1891-1973"
"Bender, Harold H. (Harold Herman), 1882-"
"Benedict, Ralph C."
"Benét, Stephen Vincent, 1898-1943"
"Benét, William Rose, 1886-1950"
"Benoît-Smullyan, Mary Louise, 1914-"
"Benson, C. D., Jr."
"Benson, E. F. (Edward Frederic), 1867-1940"
"Benson, Ezra Taft."
"Benton, J. Webb"
"Bergson, Henri, 1859-1941"
"Berlin, Irving, 1888-1989"
"Bernadotte, Estelle, Countess"
"Bernardo, Matteo."
"Bernheimer, Louis."
"Bernstorff, Johann Heinrich, Graf von, 1862-1939"
"Berry, Edward Wilber, 1875-1945"
"Berry, Marie-Caroline de Bourbon-Sicile, duchesse de, 1798-1870"
"Berthel, John Hallock, 1914-"
"Bertholf, Lloyd M."
"Bertil, Prince, son of Gustav VI Adolf, King of Sweden, 1912-"
"Bertuch, Friedrich Justin, 1747-1822"
"Berzelius, Jöns Jakob, friherre, 1779-1848"
"Bessey, Charles E. (Charles Edwin), 1845-1915"
"Best, George, active 1828-1831"
"Bevan, William, 1922-"
"Bevelander, Gerrit, 1905-"
"Beyerlein, Franz Adam, 1871-1949"
"Bickert, Donald G."
"Biddle, Nicholas, 1750-1778"
"Biddle, Nicholas, 1786-1844"
"Biklé, Henry Wolf, 1877-1942"
"Biklé, Lucy Leffingwell Cable, 1875-"
"Biklé, Lucy Leffingwell Cable, 1875-"
"Billings, John S. (John Shaw), 1838-1913"
"Billy, André, 1882-1971"
"Bingham, Harold C. (Harold Clyde), 1888-1964"
"Bingham, Hiram, 1875-1956"
"Birch, Thomas H."
"Birckhead, Hugh, -1929"
"Birckhead, Hugh."
"Birkhoff, George David, 1884-1944"
"Bispham, David Scull, 1857-1921"
"Black, James William, 1866-1934"
"Blackmar, Frank W. (Frank Wilson), 1854-1931"
"Blackmur, R. P. (Richard P.), 1904-1965"
"Blair, Floyd C."
"Blair, Percy"
"Blair, William McC. (William McCormick), 1916-"
"Blake, Maxwell, 1877"
"Blanc, Louis, 1811-1882"
"Blaney, Thomas, active 1784-1816"
"Blatchford, Samuel, 1820-1893"
"Blaustein, Jacob, 1892-1970"
"Blaustein, Louis."
"Bliss, Robert Woods, 1875-1962"
"Blomfield, Charles James, 1786-1857"
"Bloomberg, Helen"
"Bloomfield, Leonard, 1887-1949"
"Blount, Allen T."
"Blum, Harold F. (Harold Francis), 1899-"
"Blumenthal, Oscar, 1852-1917"
"Boccaccio, Giovanni, 1313-1375"
"Bode, Johann Joachim Christoph, 1730-1793"
"Bodenstedt, Friedrich, 1819-1892"
"Bodmer, Johann Jakob, 1698-1783"
"Boeckh, August, 1785-1867"
"Boehm, G. Herbert."
"Bohanan, Carrie Hoopes."
"Boheman, Erik Carlsson, 1895-1979"
"Bok, Bart J. (Bart Jan), 1906-1983"
"Bok, Edward William, 1863-1930"
"Bombeck, Erma."
"Bonaparte, Lucien, prince de Canino, 1775-1840"
"Bonbright, James C. (James Cummings), 1891-1985"
"Bonnefoy, Yves."
"Bonsal, Dudley"
"Bonsal, Philip W. (Philip Wilson), 1903-1995"
"Bonsal, Stephen, 1865-1951"
"Bookhout, Cazlyn Greer, 1907-"
"Boorstin, Ruth Frankel."
"Booth, John Wilkes, 1838-1865"
"Booth, Junius Brutus, 1796-1852"
"Borden, Lizzie, 1860-1927"
"Borland, Ove, Captain"
"Bostrum, Gertrude"
"Boudinot, Elias, 1740-1821"
"Bourinot, John George, 1837-1902"
"Bourne, Edward Gaylord, 1860-1908"
"Bowditch, Henry I. (Henry Ingersoll), 1808-1892"
"Bowen, Clarence Winthrop, 1852-1935"
"Bowen, Francis Cary."
"Bowen, Robert."
"Bowen, William."
"Bowie, Robert C."
"Bowles, Samuel, 1851-1915"
"Bowra, C. M. (Cecil Maurice), 1898-1971"
"Boyesen, Hjalmar Hjorth, 1848-1895"
"Boyle, Joseph P."
"Braden, Spruille, 1894-1978"
"Bradford, Augustus W. (Augustus Williamson), 1806-1881"
"Bradford, M. E. (Melvin Eustace), 1934-1993"
"Bradshaw, John P., fl. 1858"
"Bragg, Arthur N., 1897-1968"
"Brameld, Theodore, 1904-1987"
"Brandes, Georg Morris Cohen, 1842-1927"
"Brandt, Marianne, 1842-1921"
"Braque, Georges, 1882-1963"
"Braun, Horace H."
"Brecher, Gerhard."
"Breeskin, Adelyn Dohme, 1896-1986"
"Breneman, W. R. (William Raymond), 1907-"
"Brennan, Joseph Gerard, 1910-2004"
"Brenner, Philip."
"Brent, Margaret, approximately 1601-1670"
"Breslin, Jimmy."
"Brewster, Andre Walker, 1862-1942"
"Brewster, Daniel Baugh, 1923-2007"
"Bridges, Harry, 1901-1990"
"Briggs, Charles A. (Charles Augustus), 1841-1913"
"Briggs, Ellis, 1899-1976"
"Brigham, Amariah, 1798-1849"
"Bright, James Wilson, 1852-1926"
"Bristol, John Digby, Earl of, 1580-1654"
"Broaders, Eugene, fl. 1850"
"Broder, David S."
"Broker, George H., 1890-"
"Brougham and Vaux, Henry Brougham, Baron, 1778-1868"
"Brown, Carleton, 1869-1941"
"Brown, Elmer Ellsworth, 1861-1934"
"Brown, Francis, 1849-1916"
"Brown, Harley P."
"Browne, Lucy Hand."
"Browne, Owens Hand."
"Brownfeld, Allan C., 1939-"
"Bruce, David K. E., 1898-1977"
"Bruce, Howard, 1879-1961"
"Bruce, James, 1892-1980"
"Bruce, William Cabell, 1860-1946"
"Bruce, William Cabell, 1860-1946"
"Brugmann, Karl, 1849-1919"
"Brunetière, Ferdinand, 1849-1906"
"Brush, Charles Francis, 1849-1929"
"Bryce, James Bryce, Viscount, 1838-1922"
"Buchanan, Scott, 1895-1968"
"Buchman, Marion"
"Buchman, Marion"
"Buchwald, Art."
"Buck, Alvin, 1838-1922"
"Buck, Carl Darling, 1866-1955"
"Buck, Dudley, 1839-1909"
"Buck, Elizabeth Ann Ashby, 1820?-1904"
"Buck, George G."
"Buck, Irving A. (Irving Ashby), 1840-1912"
"Buck, John B. (John Bonner), 1912-2005"
"Buck, William Mason, 1809-1895"
"Buckingham, James Silk, 1786-1855"
"Buckley, William F., Jr., 1925-2008"
"Bullock, Charles Jesse, 1869-1941"
"Bunker, Ellsworth, 1894-1984"
"Burdach, Konrad, 1859-1936"
"Bürger, Gottfried August, 1747-1794"
"Burgess, G. K. (George Kimball), 1874-1932"
"Burgos, Antonio"
"Burke, Arleigh A., 1901-1996"
"Burlingame, Edward L. (Edward Livermore), 1848-1922"
"Burnet, John, 1863-1928"
"Burri, Conrad, 1900-"
"Burrows, Charles Robert, 1910-1986"
"Burrows, William, 1908-1978"
"Burt, Maxwell Struthers, 1882-1954"
"Burton, William Merriam, 1865-1954"
"Bush, George Gary, 1843-1898"
"Butcher, S. H. (Samuel Henry), 1850-1910"
"Butler, Charles, 1750-1832"
"Butler, John Marshall, 1897-1978"
"Butler, Nicholas Murray, 1862-1947"
"Butler, Nicholas Murray, 1862-1947"
"Butler, Nicholas Murray, 1862-1947"
"Butler, Pierce, 1744-1822"
"Butler, William Allen, 1825-1902"
"Butterfield, Daniel, 1831-1901"
"Butterworth, W. Walton (William Walton), 1903-1975"
"Cable, George Washington, 1844-1925"
"Cable, Philander"
"Cabot, John M. (John Moors), 1901-1981"
"Caffery, Jefferson, 1886-1974"
"Cahill, George F. C."
"Cairnes, John Elliott, 1823-1875"
